Country,capital_lat,capital_long,Population,GDPPerCapita,HappinessRank,HappinessScore,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual,WikepediaPage
Afghanistan,34.51666667,69.183333,36296400,556.302139,141,3.79399991,3.87366142,3.71433841,0.40147722,0.58154333,0.18074678,0.10617952,0.31187093,0.06115783,2.150801182,https://en.wikipedia.org/wiki/Afghanistan
Albania,41.31666667,19.816667,2873457,4532.8892,109,4.64400005,4.75246401,4.5355361,0.99619275,0.80368525,0.73115975,0.38149863,0.20131294,0.03986422,1.490441561,https://en.wikipedia.org/wiki/Albania
Algeria,36.75,3.05,41389198,4123.39,53,5.87200022,5.97828643,5.765714,1.09186447,1.14621747,0.61758465,0.23333581,0.06943665,0.14609611,2.567603827,https://en.wikipedia.org/wiki/Algeria
Angola,-8.833333333,13.216667,29816748,4095.81294,140,3.79500008,3.95164194,3.63835822,0.85842818,1.10441196,0.04986867,0,0.09792649,0.06972034,1.614482403,https://en.wikipedia.org/wiki/Angola
Argentina,-34.58333333,-58.666667,44044811,14591.8634,24,6.59899998,6.69008509,6.50791487,1.18529546,1.44045115,0.69513708,0.4945192,0.10945706,0.05973989,2.614005327,https://en.wikipedia.org/wiki/Argentina
Armenia,40.16666667,44.5,2944809,3914.50127,121,4.37599993,4.46673461,4.28526524,0.90059674,1.00748372,0.63752443,0.19830327,0.08348809,0.02667442,1.521499157,https://en.wikipedia.org/wiki/Armenia
Australia,-35.26666667,149.133333,24601860,54093.6022,10,7.28399992,7.35665122,7.21134861,1.48441494,1.51004195,0.84388679,0.60160738,0.47769925,0.30118373,2.065210819,https://en.wikipedia.org/wiki/Australia
Austria,48.2,16.366667,8797566,47380.8296,13,7.00600004,7.07066981,6.94133027,1.48709726,1.45994496,0.81532842,0.56776619,0.31647232,0.22106037,2.138506413,https://en.wikipedia.org/wiki/Austria
Azerbaijan,40.38333333,49.866667,9854033,4147.08972,85,5.23400021,5.29928654,5.16871388,1.15360177,1.15240026,0.54077578,0.39815584,0.04526934,0.18098751,1.762481689,https://en.wikipedia.org/wiki/Azerbaijan
Bahrain,26.23333333,50.566667,1494074,23715.4828,41,6.08699989,6.17898907,5.99501072,1.48841226,1.32311046,0.65313303,0.53674692,0.17266849,0.25704217,1.656149387,https://en.wikipedia.org/wiki/Bahrain
Bangladesh,23.71666667,90.4,159670593,1563.99408,110,4.6079998,4.68982166,4.52617794,0.58668298,0.73513174,0.53324103,0.47835666,0.17225535,0.12371786,1.978736162,https://en.wikipedia.org/wiki/Bangladesh
Belarus,53.9,27.566667,9498264,5761.74712,67,5.56899977,5.64611424,5.49188529,1.15655756,1.44494522,0.63771427,0.29540026,0.15513751,0.15631382,1.723232985,https://en.wikipedia.org/wiki/Belarus
Belgium,50.83333333,4.333333,11375158,43507.2382,17,6.89099979,6.95582075,6.82617884,1.46378076,1.4623127,0.81809187,0.53977072,0.23150334,0.25134313,2.124210358,https://en.wikipedia.org/wiki/Belgium
Belize,17.25,-88.766667,375769,4956.80804,50,5.95599985,6.19724232,5.71475738,0.90797532,1.0814178,0.45019177,0.54750937,0.24001564,0.09658107,2.631955624,https://en.wikipedia.org/wiki/Belize
Benin,6.483333333,2.616667,11175204,827.42981,143,3.65700006,3.74578355,3.56821658,0.43108541,0.43529984,0.20993021,0.42596278,0.20794846,0.06092902,1.885630965,https://en.wikipedia.org/wiki/Benin
Bhutan,27.46666667,89.633333,745568,3390.71408,97,5.01100016,5.07933456,4.94266575,0.88541639,1.34012651,0.49587929,0.50153768,0.47405455,0.17338039,1.140184402,https://en.wikipedia.org/wiki/Bhutan
Bolivia,-16.5,-68.15,11192854,3351.12405,58,5.82299995,5.9039769,5.74202301,0.83375657,1.22761905,0.47363025,0.55873293,0.22556072,0.06047773,2.443279028,https://en.wikipedia.org/wiki/Bolivia
Bosnia_and_Herzegovina,43.86666667,18.416667,3351527,5394.59122,90,5.18200016,5.27633569,5.08766463,0.98240942,1.06933594,0.70518631,0.20440318,0.3288675,0,1.892172575,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Botswana,-24.63333333,25.9,2205128,7893.67593,142,3.76600003,3.87412267,3.6578774,1.12209415,1.22155499,0.34175551,0.50519633,0.09934845,0.0985832,0.377913713,https://en.wikipedia.org/wiki/Botswana
Brazil,-15.78333333,-47.916667,207833831,9880.94654,22,6.63500023,6.7254695,6.54453096,1.10735321,1.431306,0.61655235,0.43745375,0.16234989,0.11109276,2.769267082,https://en.wikipedia.org/wiki/Brazil
Bulgaria,42.68333333,23.316667,7075947,8228.01157,105,4.71400023,4.80369471,4.62430574,1.16145909,1.43437946,0.70821768,0.28923172,0.11317769,0.01105153,0.996139288,https://en.wikipedia.org/wiki/Bulgaria
Burkina_Faso,12.36666667,-1.516667,19193284,642.040427,134,4.03200006,4.12405906,3.93994107,0.35022771,1.04328001,0.21584426,0.32436785,0.25086468,0.12032811,1.727212906,https://en.wikipedia.org/wiki/Burkina_Faso
Burundi,-3.366666667,29.35,10827024,293.009062,154,2.90499997,3.07469033,2.73530961,0.09162257,0.62979358,0.15161079,0.05990075,0.20443518,0.08414795,1.683024168,https://en.wikipedia.org/wiki/Burundi
Cambodia,11.55,104.916667,16009414,1385.25998,129,4.16800022,4.27851781,4.05748263,0.6017651,1.00623834,0.4297834,0.63337582,0.38592297,0.06810595,1.042941093,https://en.wikipedia.org/wiki/Cambodia
Cameroon,3.866666667,11.516667,24566045,1421.58749,107,4.69500017,4.79654086,4.59345949,0.56430537,0.94601822,0.13289212,0.43038875,0.23629846,0.05130663,2.333645582,https://en.wikipedia.org/wiki/Cameroon
Canada,45.41666667,-75.7,36540268,45069.9273,7,7.31599998,7.38440284,7.24759713,1.47920442,1.48134899,0.83455765,0.61110091,0.43553972,0.28737152,2.187264442,https://en.wikipedia.org/wiki/Canada
Central_African_Republic,4.366666667,18.583333,4659000,471.603228,155,2.69300008,2.86488427,2.52111589,0,0,0.01877269,0.27084205,0.28087649,0.05656508,2.066004753,https://en.wikipedia.org/wiki/Central_African_Republic
Chad,12.1,15.033333,15016773,664.303316,137,3.93600011,4.03471152,3.83728869,0.43801299,0.95385587,0.04113472,0.16234203,0.21611385,0.05358188,2.071238041,https://en.wikipedia.org/wiki/Chad
Chile,-33.45,-70.666667,18470439,15037.3501,20,6.65199995,6.73925056,6.56474934,1.25278461,1.28402495,0.8194797,0.37689528,0.32666242,0.08228798,2.509585857,https://en.wikipedia.org/wiki/Chile
Colombia,4.6,-74.083333,48901066,6375.93206,36,6.35699987,6.45202005,6.26197969,1.07062232,1.40218294,0.59502792,0.47748742,0.14901447,0.04666874,2.616068125,https://en.wikipedia.org/wiki/Colombia
China,39.91666667,116.383333,1386395000,8759.04158,79,5.27299976,5.31927809,5.22672144,1.08116579,1.16083741,0.7414155,0.47278771,0.02880684,0.02279427,1.764938593,https://en.wikipedia.org/wiki/China
Congo_(Brazzaville),-4.25,15.283333,5110702,467.074238,124,4.29099989,4.41005351,4.17194627,0.80896425,0.83204436,0.28995743,0.43502587,0.12085213,0.07961813,1.724135637,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Congo_(Kinshasa),-4.316666667,15.3,81398764,1702.57135,126,4.28000021,4.35781083,4.20218959,0.09210235,1.22902346,0.19140702,0.23596135,0.24645583,0.06024136,2.224958658,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
